; Effective Area Spectral Curve for GOES-16 SUVI FM1
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 12-Apr-2019
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen(131.2A) = 7.802481e-01 > 4.280000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
10	5.5663E-18	3.06668E-18	2.45047E-19
10.1	5.4583E-18	2.97735E-18	2.39103E-19
10.2	5.3504E-18	2.8892E-18	2.33203E-19
10.3	5.2491E-18	2.80725E-18	2.27689E-19
10.4	5.1516E-18	2.72935E-18	2.22419E-19
10.5	5.0577E-18	2.65505E-18	2.17368E-19
10.6	4.9642E-18	2.58179E-18	2.12362E-19
10.7	4.8714E-18	2.50982E-18	2.07419E-19
10.8	4.7793E-18	2.43915E-18	2.02541E-19
10.9	4.6913E-18	2.37237E-18	1.97908E-19
11	4.6046E-18	2.30714E-18	1.9336E-19
11.1	4.5184E-18	2.24293E-18	1.88862E-19
11.2	4.4327E-18	2.17974E-18	1.84413E-19
11.3	4.3475E-18	2.11757E-18	1.80014E-19
11.4	4.2587E-18	2.05344E-18	1.75454E-19
11.5	4.1686E-18	1.989E-18	1.70846E-19
11.6	4.0739E-18	1.92205E-18	1.66033E-19
11.7	3.9801E-18	1.85647E-18	1.61291E-19
11.8	3.8872E-18	1.79225E-18	1.5662E-19
11.9	3.7953E-18	1.72955E-18	1.52032E-19
12	3.7050E-18	1.66858E-18	1.47544E-19
12.1	3.6225E-18	1.6136E-18	1.43473E-19
12.2	3.5416E-18	1.56031E-18	1.39505E-19
12.3	3.4627E-18	1.50888E-18	1.35654E-19
12.4	3.3848E-18	1.45867E-18	1.31873E-19
12.5	3.3079E-18	1.40965E-18	1.28161E-19
12.6	3.2320E-18	1.36181E-18	1.24518E-19
12.7	3.1570E-18	1.31506E-18	1.20937E-19
12.8	3.0830E-18	1.2695E-18	1.17426E-19
12.9	3.0101E-18	1.22511E-18	1.13987E-19
13	2.9381E-18	1.18182E-18	1.10612E-19
13.1	2.8672E-18	1.13966E-18	1.07306E-19
13.2	2.7965E-18	1.09812E-18	1.04029E-19
13.3	2.7266E-18	1.05756E-18	1.00809E-19
13.4	2.6541E-18	1.01602E-18	9.74912E-20
13.5	2.5827E-18	9.75628E-19	9.42429E-20
13.6	2.5126E-18	9.3649E-19	9.10745E-20
13.7	2.4436E-18	8.98498E-19	8.79777E-20
13.8	2.3759E-18	8.6169E-19	8.49574E-20
13.9	2.3095E-18	8.26118E-19	8.20181E-20
14	2.2442E-18	7.91623E-19	7.91479E-20
14.1	2.1802E-18	7.58228E-19	7.63497E-20
14.2	2.1173E-18	7.25919E-19	7.36231E-20
14.3	2.0557E-18	6.94708E-19	7.09699E-20
14.4	1.9952E-18	6.64515E-19	6.83847E-20
14.5	1.9360E-18	6.35368E-19	6.58704E-20
14.6	1.8831E-18	6.09742E-19	6.3644E-20
14.7	1.8330E-18	5.85796E-19	6.15489E-20
14.8	1.7839E-18	5.62622E-19	5.95084E-20
14.9	1.7359E-18	5.40258E-19	5.75258E-20
15	1.6888E-18	5.18607E-19	5.55934E-20
15.1	1.6426E-18	4.97652E-19	5.37104E-20
15.2	1.5973E-18	4.77414E-19	5.18795E-20
15.3	1.5530E-18	4.57854E-19	5.00976E-20
15.4	1.5096E-18	4.38972E-19	4.83657E-20
15.5	1.4671E-18	4.20737E-19	4.66815E-20
15.6	1.4255E-18	4.03102E-19	4.50415E-20
15.7	1.3848E-18	3.86119E-19	4.34507E-20
15.8	1.3451E-18	3.69762E-19	4.19082E-20
15.9	1.3061E-18	3.53952E-19	4.04061E-20
16	1.2681E-18	3.38732E-19	3.89496E-20
16.1	1.2309E-18	3.24071E-19	3.75363E-20
16.2	1.1956E-18	3.1036E-19	3.62051E-20
16.3	1.1612E-18	2.97181E-19	3.49163E-20
16.4	1.1281E-18	2.84667E-19	3.3684E-20
16.5	1.0962E-18	2.72779E-19	3.25047E-20
