; Effective Area Spectral Curve for GOES-16 SUVI FM1
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 17-Oct-2018
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen( 93.9A) = 1.111914e-01 > 1.170000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
10	5.5750E-18	3.07145E-18	2.45428E-19
10.1	5.4670E-18	2.9821E-18	2.39484E-19
10.2	5.3592E-18	2.89394E-18	2.33586E-19
10.3	5.2579E-18	2.81197E-18	2.28072E-19
10.4	5.1605E-18	2.73405E-18	2.22802E-19
10.5	5.0666E-18	2.65972E-18	2.1775E-19
10.6	4.9731E-18	2.58643E-18	2.12744E-19
10.7	4.8803E-18	2.51444E-18	2.07801E-19
10.8	4.7882E-18	2.44374E-18	2.02922E-19
10.9	4.7003E-18	2.37693E-18	1.98288E-19
11	4.6136E-18	2.31167E-18	1.93739E-19
11.1	4.5274E-18	2.24741E-18	1.8924E-19
11.2	4.4417E-18	2.18419E-18	1.84789E-19
11.3	4.3565E-18	2.12198E-18	1.80389E-19
11.4	4.2678E-18	2.0578E-18	1.75826E-19
11.5	4.1776E-18	1.99331E-18	1.71216E-19
11.6	4.0830E-18	1.92631E-18	1.66401E-19
11.7	3.9891E-18	1.86067E-18	1.61656E-19
11.8	3.8962E-18	1.7964E-18	1.56982E-19
11.9	3.8043E-18	1.73363E-18	1.52391E-19
12	3.7139E-18	1.67261E-18	1.47901E-19
12.1	3.6314E-18	1.61757E-18	1.43826E-19
12.2	3.5505E-18	1.56422E-18	1.39855E-19
12.3	3.4716E-18	1.51273E-18	1.36E-19
12.4	3.3936E-18	1.46246E-18	1.32216E-19
12.5	3.3167E-18	1.41339E-18	1.28501E-19
12.6	3.2408E-18	1.36549E-18	1.24854E-19
12.7	3.1657E-18	1.31867E-18	1.21269E-19
12.8	3.0916E-18	1.27304E-18	1.17755E-19
12.9	3.0186E-18	1.22859E-18	1.14311E-19
13	2.9466E-18	1.18524E-18	1.10933E-19
13.1	2.8757E-18	1.14302E-18	1.07622E-19
13.2	2.8049E-18	1.10142E-18	1.04341E-19
13.3	2.7349E-18	1.06078E-18	1.01117E-19
13.4	2.6624E-18	1.01918E-18	9.7794E-20
13.5	2.5909E-18	9.78715E-19	9.45411E-20
13.6	2.5207E-18	9.39504E-19	9.13676E-20
13.7	2.4516E-18	9.01445E-19	8.82663E-20
13.8	2.3838E-18	8.64566E-19	8.52409E-20
13.9	2.3173E-18	8.28926E-19	8.22969E-20
14	2.2520E-18	7.94359E-19	7.94214E-20
14.1	2.1878E-18	7.60893E-19	7.66181E-20
14.2	2.1249E-18	7.28516E-19	7.38865E-20
14.3	2.0632E-18	6.97236E-19	7.12282E-20
14.4	2.0026E-18	6.66973E-19	6.86377E-20
14.5	1.9433E-18	6.37758E-19	6.61182E-20
14.6	1.8903E-18	6.12073E-19	6.38873E-20
14.7	1.8401E-18	5.88068E-19	6.17876E-20
14.8	1.7909E-18	5.64833E-19	5.97423E-20
14.9	1.7428E-18	5.42414E-19	5.77553E-20
15	1.6956E-18	5.20707E-19	5.58185E-20
15.1	1.6493E-18	4.99695E-19	5.39308E-20
15.2	1.6040E-18	4.79401E-19	5.20954E-20
15.3	1.5596E-18	4.59787E-19	5.0309E-20
15.4	1.5161E-18	4.40849E-19	4.85725E-20
15.5	1.4735E-18	4.22562E-19	4.68839E-20
15.6	1.4317E-18	4.04875E-19	4.52396E-20
15.7	1.3910E-18	3.87841E-19	4.36445E-20
15.8	1.3511E-18	3.71432E-19	4.20975E-20
15.9	1.3121E-18	3.55573E-19	4.05911E-20
16	1.2739E-18	3.40303E-19	3.91303E-20
16.1	1.2367E-18	3.25595E-19	3.77129E-20
16.2	1.2013E-18	3.11837E-19	3.63775E-20
16.3	1.1668E-18	2.98614E-19	3.50847E-20
16.4	1.1336E-18	2.86056E-19	3.38484E-20
16.5	1.1016E-18	2.74127E-19	3.26653E-20
16.6	1.0702E-18	2.62606E-19	3.15149E-20
16.7	1.0396E-18	2.51521E-19	3.04E-20
16.8	1.0097E-18	2.40835E-19	2.93174E-20
16.9	9.8049E-19	2.3054E-19	2.8267E-20
17	9.5193E-19	2.20627E-19	2.72481E-20
17.1	9.2407E-19	2.11094E-19	2.62614E-20
17.2	8.9686E-19	2.01917E-19	2.53044E-20
17.3	8.7030E-19	1.93092E-19	2.43773E-20
17.4	8.4436E-19	1.84595E-19	2.34782E-20
17.5	8.1909E-19	1.76441E-19	2.26089E-20
17.6	7.9443E-19	1.68601E-19	2.17666E-20
17.7	7.7037E-19	1.61066E-19	2.09511E-20
17.8	7.4692E-19	1.53833E-19	2.01622E-20
17.9	7.2408E-19	1.46894E-19	1.93996E-20
18	7.0176E-19	1.40216E-19	1.866E-20
18.1	6.8005E-19	1.33818E-19	1.79458E-20
18.2	6.5885E-19	1.27666E-19	1.7254E-20
18.3	6.3822E-19	1.21772E-19	1.6586E-20
18.4	6.1809E-19	1.16109E-19	1.59391E-20
18.5	5.9848E-19	1.1068E-19	1.5314E-20
18.6	5.7941E-19	1.05481E-19	1.47106E-20
18.7	5.6082E-19	1.00491E-19	1.4127E-20
18.8	5.4274E-19	9.57163E-20	1.3564E-20
18.9	5.2514E-19	9.1142E-20	1.30203E-20
19	5.0804E-19	8.67676E-20	1.24961E-20
19.1	4.9140E-19	8.25811E-20	1.19903E-20
19.2	4.7521E-19	7.85712E-20	1.1502E-20
19.3	4.5946E-19	7.47342E-20	1.10308E-20
19.4	4.4411E-19	7.10561E-20	1.05753E-20
19.5	4.2923E-19	6.75469E-20	1.01372E-20
19.6	4.1460E-19	6.41551E-20	9.71012E-21
19.7	4.0035E-19	6.09072E-20	9.29774E-21
19.8	3.8656E-19	5.78173E-20	8.90197E-21
19.9	3.7317E-19	5.48657E-20	8.52068E-21
20	3.6018E-19	5.20526E-20	8.15413E-21
20.1	3.8956E-16	5.53326E-17	8.74375E-18
20.2	1.4588E-15	2.03638E-16	3.24623E-17
20.3	3.1345E-15	4.29967E-16	6.91469E-17
20.4	5.3471E-15	7.20712E-16	1.16934E-16
20.5	8.0319E-15	1.06363E-15	1.74113E-16
20.6	1.1128E-14	1.4477E-15	2.3911E-16
20.7	1.4578E-14	1.86307E-15	3.10491E-16
20.8	1.8331E-14	2.30094E-15	3.86943E-16
20.9	2.2337E-14	2.75384E-15	4.67317E-16
21	2.6549E-14	3.21437E-15	5.50465E-16
21.1	3.0926E-14	3.67681E-15	6.35448E-16
21.2	3.5428E-14	4.13586E-15	7.21392E-16
21.3	4.0021E-14	4.58697E-15	8.0751E-16
21.4	4.4669E-14	5.02606E-15	8.93077E-16
21.5	4.9344E-14	5.45012E-15	9.77512E-16
21.6	5.4019E-14	5.85639E-15	1.06026E-15
21.7	5.8665E-14	6.24208E-15	1.1408E-15
21.8	6.3258E-14	6.60518E-15	1.21866E-15
21.9	6.7780E-14	6.94477E-15	1.29358E-15
22	7.2210E-14	7.25939E-15	1.36518E-15
22.1	7.6536E-14	7.54892E-15	1.43333E-15
22.2	8.0737E-14	7.812E-15	1.49768E-15
22.3	8.4802E-14	8.04857E-15	1.55809E-15
22.4	8.8725E-14	8.25971E-15	1.6146E-15
22.5	9.2486E-14	8.44393E-15	1.66687E-15
22.6	9.6081E-14	8.60235E-15	1.71494E-15
22.7	9.9511E-14	8.73661E-15	1.75897E-15
22.8	1.0284E-13	8.85231E-15	1.80004E-15
22.9	1.1444E-13	1.00133E-14	2.01364E-15
23	1.1836E-13	1.01818E-14	2.06512E-15
23.1	1.2250E-13	1.03799E-14	2.12129E-15
23.2	1.2651E-13	1.05591E-14	2.17432E-15
23.3	1.3040E-13	1.07216E-14	2.22454E-15
23.4	1.3429E-13	1.08813E-14	2.27428E-15
23.5	1.3805E-13	1.10243E-14	2.32114E-15
23.6	1.4167E-13	1.11492E-14	2.36476E-15
23.7	1.4516E-13	1.12575E-14	2.4054E-15
23.8	1.4852E-13	1.135E-14	2.44311E-15
23.9	1.5171E-13	1.14243E-14	2.47741E-15
24	1.5477E-13	1.14838E-14	2.50884E-15
24.1	1.5768E-13	1.15283E-14	2.53736E-15
24.2	1.6045E-13	1.15584E-14	2.56299E-15
24.3	1.6308E-13	1.15743E-14	2.58575E-15
24.4	1.6555E-13	1.15765E-14	2.60563E-15
24.5	1.6788E-13	1.15653E-14	2.6227E-15
24.6	1.7006E-13	1.15425E-14	2.63723E-15
24.7	1.7210E-13	1.1507E-14	2.64898E-15
24.8	1.7399E-13	1.14602E-14	2.65817E-15
24.9	1.7574E-13	1.14029E-14	2.66492E-15
25	1.7734E-13	1.13349E-14	2.66918E-15
25.1	1.7885E-13	1.12601E-14	2.67173E-15
25.2	1.8505E-13	1.14758E-14	2.7437E-15
25.3	1.9147E-13	1.16957E-14	2.81765E-15
25.4	1.9436E-13	1.16934E-14	2.83867E-15
25.5	1.9750E-13	1.17028E-14	2.86278E-15
25.6	1.9835E-13	1.15754E-14	2.85339E-15
25.7	1.9909E-13	1.14424E-14	2.84233E-15
25.8	2.0136E-13	1.13976E-14	2.85306E-15
25.9	2.0403E-13	1.13731E-14	2.86894E-15
26	2.0810E-13	1.14232E-14	2.90393E-15
26.1	2.1273E-13	1.14992E-14	2.9459E-15
26.2	2.1811E-13	1.16098E-14	2.99738E-15
26.3	2.2409E-13	1.17369E-14	3.05487E-15
26.4	2.2772E-13	1.17361E-14	3.07959E-15
26.5	2.2897E-13	1.16103E-14	3.07152E-15
26.6	2.3161E-13	1.15551E-14	3.08198E-15
26.7	2.3652E-13	1.16058E-14	3.12144E-15
26.8	2.4142E-13	1.1651E-14	3.1599E-15
26.9	2.4681E-13	1.17144E-14	3.20378E-15
27	2.5224E-13	1.1774E-14	3.24723E-15
27.1	2.5461E-13	1.16875E-14	3.2506E-15
27.2	2.5681E-13	1.1592E-14	3.25136E-15
27.3	2.6285E-13	1.16671E-14	3.3002E-15
27.4	2.6993E-13	1.17813E-14	3.36085E-15
27.5	2.7367E-13	1.17448E-14	3.37896E-15
27.6	2.7513E-13	1.16093E-14	3.3685E-15
27.7	2.7527E-13	1.14198E-14	3.34189E-15
27.8	2.7281E-13	1.11282E-14	3.28435E-15
27.9	2.7085E-13	1.08781E-14	3.23572E-15
28	2.6509E-13	1.04823E-14	3.1425E-15
28.1	2.5959E-13	1.01061E-14	3.05354E-15
28.2	2.5540E-13	9.78885E-15	2.98103E-15
28.3	2.5380E-13	9.61667E-15	2.94556E-15
28.4	2.5392E-13	9.51454E-15	2.93072E-15
28.5	2.5563E-13	9.47231E-15	2.93415E-15
28.6	2.5777E-13	9.44574E-15	2.94244E-15
28.7	2.6136E-13	9.47078E-15	2.96688E-15
28.8	2.6511E-13	9.50005E-15	2.99285E-15
28.9	2.7243E-13	9.65405E-15	3.05856E-15
29	2.8059E-13	9.83288E-15	3.13281E-15
29.1	2.8986E-13	1.00449E-14	3.21838E-15
29.2	3.0022E-13	1.02883E-14	3.31502E-15
29.3	3.0968E-13	1.04943E-14	3.40051E-15
29.4	3.1161E-13	1.04424E-14	3.40284E-15
29.5	3.1388E-13	1.04015E-14	3.40868E-15
29.6	3.2952E-13	1.07987E-14	3.55882E-15
29.7	3.5032E-13	1.13526E-14	3.76251E-15
29.8	3.8537E-13	1.23495E-14	4.11612E-15
29.9	4.4856E-13	1.42148E-14	4.76458E-15
30	5.2236E-13	1.63692E-14	5.51777E-15
30.1	4.9047E-13	1.51987E-14	5.15222E-15
30.2	4.5700E-13	1.4004E-14	4.7741E-15
30.3	4.5533E-13	1.37973E-14	4.73031E-15
30.4	4.8420E-13	1.4514E-14	5.00332E-15
30.5	5.1956E-13	1.54152E-14	5.34154E-15
30.6	5.4624E-13	1.6042E-14	5.5875E-15
30.7	5.8237E-13	1.6929E-14	5.92695E-15
30.8	6.4305E-13	1.85025E-14	6.51141E-15
30.9	7.4037E-13	2.11286E-14	7.4666E-15
31	8.9157E-13	2.52456E-14	8.95683E-15
31.1	1.3009E-12	3.65494E-14	1.30187E-14
31.2	2.0114E-12	5.60721E-14	2.00517E-14
31.3	2.9968E-12	8.28933E-14	2.97603E-14
31.4	4.6574E-12	1.27828E-13	4.60743E-14
31.5	8.6094E-12	2.34462E-13	8.48435E-14
31.6	1.2970E-11	3.50466E-13	1.27322E-13
31.7	1.5435E-11	4.13844E-13	1.5094E-13
31.8	4.8191E-12	1.28217E-13	4.69482E-14
31.9	6.9228E-13	1.82761E-14	6.71841E-15
32	1.5644E-13	4.0982E-15	1.51246E-15
32.1	7.1783E-14	1.86594E-15	6.91338E-16
32.2	5.3987E-14	1.39251E-15	5.1796E-16
32.3	5.1179E-14	1.30991E-15	4.89151E-16
32.4	5.3412E-14	1.35655E-15	5.08556E-16
32.5	5.7503E-14	1.44919E-15	5.45418E-16
32.6	6.2988E-14	1.57524E-15	5.95181E-16
32.7	6.9077E-14	1.71385E-15	6.5016E-16
32.8	7.5203E-14	1.84733E-15	7.04339E-16
32.9	7.9793E-14	1.94066E-15	7.43655E-16
33	8.4348E-14	2.03107E-15	7.82236E-16
33.1	8.8668E-14	2.11393E-15	8.18253E-16
33.2	9.2980E-14	2.19152E-15	8.53201E-16
33.3	9.6218E-14	2.23196E-15	8.75947E-16
33.4	9.8899E-14	2.25784E-15	8.93249E-16
33.5	1.0120E-13	2.27383E-15	9.06845E-16
33.6	1.0340E-13	2.28624E-15	9.19173E-16
33.7	1.0447E-13	2.27325E-15	9.21365E-16
33.8	1.0513E-13	2.25113E-15	9.19804E-16
33.9	1.0576E-13	2.22838E-15	9.17904E-16
34	1.0630E-13	2.20409E-15	9.15296E-16
34.1	1.0654E-13	2.17367E-15	9.1002E-16
34.2	1.0677E-13	2.14337E-15	9.04676E-16
34.3	1.0705E-13	2.1146E-15	8.99825E-16
34.4	1.0716E-13	2.08262E-15	8.93479E-16
34.5	1.0692E-13	2.04457E-15	8.84354E-16
34.6	1.0654E-13	2.00448E-15	8.74136E-16
34.7	1.0616E-13	1.96507E-15	8.63996E-16
34.8	1.0558E-13	1.92278E-15	8.52373E-16
34.9	1.0483E-13	1.87819E-15	8.39478E-16
35	1.0406E-13	1.83422E-15	8.26601E-16
35.1	1.0286E-13	1.78357E-15	8.10427E-16
35.2	1.0169E-13	1.73459E-15	7.94699E-16
35.3	1.0062E-13	1.68842E-15	7.7997E-16
35.4	9.9335E-14	1.63965E-15	7.63738E-16
35.5	9.8161E-14	1.59379E-15	7.48569E-16
35.6	9.6801E-14	1.54603E-15	7.32182E-16
35.7	9.6216E-14	1.5115E-15	7.21807E-16
35.8	9.6528E-14	1.50025E-15	7.20322E-16
35.9	9.6942E-14	1.49202E-15	7.19925E-16
36	9.7361E-14	1.48387E-15	7.19546E-16
36.1	9.7772E-14	1.47562E-15	7.19099E-16
36.2	9.8041E-14	1.46525E-15	7.1759E-16
36.3	1.0056E-13	1.50932E-15	7.37624E-16
36.4	1.0529E-13	1.60488E-15	7.78358E-16
36.5	1.1029E-13	1.70702E-15	8.21622E-16
36.6	1.1550E-13	1.81489E-15	8.66985E-16
36.7	1.2073E-13	1.9259E-15	9.13141E-16
36.8	1.2616E-13	2.04282E-15	9.61397E-16
36.9	1.3165E-13	2.16376E-15	1.01082E-15
37	1.3714E-13	2.28758E-15	1.06084E-15
37.1	1.4340E-13	2.42732E-15	1.11747E-15
37.2	1.4997E-13	2.57583E-15	1.17729E-15
37.3	1.5690E-13	2.73422E-15	1.24071E-15
37.4	1.6439E-13	2.90623E-15	1.30938E-15
37.5	1.7223E-13	3.0886E-15	1.3817E-15
37.6	1.8026E-13	3.27891E-15	1.45653E-15
37.7	1.8897E-13	3.48612E-15	1.53776E-15
37.8	1.9746E-13	3.6942E-15	1.61824E-15
37.9	2.0639E-13	3.91251E-15	1.7027E-15
38	2.1385E-13	4.09152E-15	1.77249E-15
38.1	2.2122E-13	4.27156E-15	1.8421E-15
38.2	2.2891E-13	4.46048E-15	1.91492E-15
38.3	2.3697E-13	4.65966E-15	1.99148E-15
38.4	2.4462E-13	4.85375E-15	2.06518E-15
38.5	2.4840E-13	4.9373E-15	2.09904E-15
38.6	2.4886E-13	4.92348E-15	2.09813E-15
38.7	2.4826E-13	4.88897E-15	2.08838E-15
38.8	2.4792E-13	4.85966E-15	2.08079E-15
38.9	2.4753E-13	4.82979E-15	2.07291E-15
39	2.4640E-13	4.78555E-15	2.05877E-15
39.1	2.4529E-13	4.74212E-15	2.04491E-15
39.2	2.4415E-13	4.69846E-15	2.03088E-15
39.3	2.4325E-13	4.65966E-15	2.01885E-15
39.4	2.4274E-13	4.6287E-15	2.01016E-15
39.5	2.4271E-13	4.60697E-15	2.00542E-15
39.6	2.4281E-13	4.58788E-15	2.00179E-15
39.7	2.4156E-13	4.54921E-15	1.98831E-15
39.8	2.3987E-13	4.50251E-15	1.97127E-15
39.9	2.3710E-13	4.4359E-15	1.94542E-15
40	2.3235E-13	4.3328E-15	1.90344E-15
40.1	2.2590E-13	4.19885E-15	1.84773E-15
40.2	2.1895E-13	4.05959E-15	1.78877E-15
40.3	2.1606E-13	4.01556E-15	1.76736E-15
40.4	2.1523E-13	4.00958E-15	1.76272E-15
40.5	2.1540E-13	4.02239E-15	1.76636E-15
40.6	2.1687E-13	4.05934E-15	1.78058E-15
40.7	2.1852E-13	4.10011E-15	1.79641E-15
40.8	2.2030E-13	4.14321E-15	1.81328E-15
40.9	2.2311E-13	4.20583E-15	1.83864E-15
41	2.2647E-13	4.27926E-15	1.86865E-15
41.1	2.3030E-13	4.36181E-15	1.90258E-15
41.2	2.3405E-13	4.44322E-15	1.93597E-15
41.3	2.3395E-13	4.45165E-15	1.93751E-15
41.4	2.3240E-13	4.4324E-15	1.92701E-15
41.5	2.2907E-13	4.37885E-15	1.90167E-15
41.6	2.2351E-13	4.28234E-15	1.85775E-15
41.7	2.1328E-13	4.09567E-15	1.77484E-15
41.8	2.0196E-13	3.88719E-15	1.68268E-15
41.9	1.9145E-13	3.69316E-15	1.59699E-15
42	1.8777E-13	3.63047E-15	1.56821E-15
42.1	1.8374E-13	3.53431E-15	1.53067E-15
42.2	1.8084E-13	3.45992E-15	1.5026E-15
42.3	1.7913E-13	3.40872E-15	1.48446E-15
42.4	1.7647E-13	3.33996E-15	1.45855E-15
42.5	1.7424E-13	3.2801E-15	1.43637E-15
42.6	1.7288E-13	3.23688E-15	1.42137E-15
42.7	1.7066E-13	3.17734E-15	1.39926E-15
42.8	1.6895E-13	3.12748E-15	1.38135E-15
42.9	1.6792E-13	3.09072E-15	1.36913E-15
43	1.6985E-13	3.1083E-15	1.38097E-15
43.1	1.7062E-13	3.10457E-15	1.38335E-15
43.2	1.7008E-13	3.07712E-15	1.37514E-15
43.3	1.6719E-13	3.00761E-15	1.34802E-15
43.4	1.6558E-13	2.96163E-15	1.33129E-15
43.5	1.6513E-13	2.93678E-15	1.324E-15
43.6	1.6263E-13	2.87586E-15	1.30032E-15
43.7	1.6738E-13	3.01175E-15	1.33454E-15
43.8	1.6411E-13	2.93652E-15	1.30485E-15
43.9	1.6767E-13	2.98364E-15	1.32951E-15
44	1.3178E-12	2.33344E-14	1.04235E-14
44.1	1.2796E-12	2.25466E-14	1.00964E-14
44.2	1.2463E-12	2.18536E-14	9.81016E-15
44.3	1.3279E-12	2.31699E-14	1.04266E-14
44.4	1.1525E-12	2.00119E-14	9.02758E-15
