; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
; 
; File Generated 12-Apr-2019 - Updated 19-Jun-2020
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen(131.2A) = 7.420613e-01 > 4.280000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
10	5.6132E-18	3.0909E-18	2.4509E-19
10.1	5.5069E-18	3.0019E-18	2.3935E-19
10.2	5.3911E-18	2.9088E-18	2.3323E-19
10.3	5.2891E-18	2.8260E-18	2.2780E-19
10.4	5.1896E-18	2.7464E-18	2.2255E-19
10.5	5.0924E-18	2.6699E-18	2.1746E-19
10.6	4.9959E-18	2.5946E-18	2.1243E-19
10.7	4.9002E-18	2.5208E-18	2.0746E-19
10.8	4.8053E-18	2.4483E-18	2.0256E-19
10.9	4.7131E-18	2.3790E-18	1.9783E-19
11	4.6312E-18	2.3159E-18	1.9357E-19
11.1	4.5407E-18	2.2493E-18	1.8898E-19
11.2	4.4510E-18	2.1838E-18	1.8445E-19
11.3	4.3621E-18	2.1195E-18	1.7997E-19
11.4	4.2718E-18	2.0544E-18	1.7543E-19
11.5	4.1812E-18	1.9895E-18	1.7088E-19
11.6	4.0889E-18	1.9235E-18	1.6624E-19
11.7	3.9975E-18	1.8588E-18	1.6168E-19
11.8	3.8986E-18	1.7916E-18	1.5684E-19
11.9	3.8092E-18	1.7299E-18	1.5242E-19
12	3.7129E-18	1.6661E-18	1.4776E-19
12.1	3.6294E-18	1.6105E-18	1.4371E-19
12.2	3.5472E-18	1.5566E-18	1.3975E-19
12.3	3.4745E-18	1.5077E-18	1.3619E-19
12.4	3.3948E-18	1.4566E-18	1.3239E-19
12.5	3.3160E-18	1.4067E-18	1.2865E-19
12.6	3.2382E-18	1.3580E-18	1.2498E-19
12.7	3.1613E-18	1.3104E-18	1.2138E-19
12.8	3.0854E-18	1.2641E-18	1.1784E-19
12.9	3.0181E-18	1.2219E-18	1.1465E-19
13	2.9441E-18	1.1778E-18	1.1124E-19
13.1	2.8712E-18	1.1348E-18	1.0789E-19
13.2	2.7989E-18	1.0927E-18	1.0459E-19
13.3	2.7274E-18	1.0515E-18	1.0134E-19
13.4	2.6552E-18	1.0101E-18	9.8065E-20
13.5	2.5840E-18	9.6985E-19	9.4853E-20
13.6	2.5139E-18	9.3077E-19	9.1712E-20
13.7	2.4449E-18	8.9283E-19	8.8640E-20
